用户名,CAS号,查询时间,查询结果,使用用途
user,100-01-6,2025-04-15 00:13:41,未找到结果,
user,1001354-72-8,2025-04-15 00:13:48,未找到结果,
user,100-01-6,2025-04-15 00:14:06,未找到结果,
user,100-01-6,2025-04-15 00:15:20,未找到结果,
user,100-01-6,2025-04-15 00:15:23,未找到结果,
user,100-21-0,2025-04-15 00:15:30,未找到结果,
user,100-01-6,2025-04-15 00:19:01,"4-nitro-aniline;4-Nitro-phenylamine;4-Nitroaniline;4-nitrobenzenamine;Aniline, p-nitro-;Benzenamine, 4-nitro-;NITROANILINE, 4-;NITROANILINE, p-;p-nitroaniline - 毒性分级: 4级",
user,1001354-72-8,2025-04-15 00:20:39,"(3R,4R)-3-aminooctan-4-ol; (3R,4S)-3-aminooctan-4-ol; (3S,4R)-3-aminooctan-4-ol; (3S,4S)-3-aminooctan-4-ol;3-aminooctan-4-ol;4-Octanol, 3-amino-;octanolamine - 毒性分级: 4级",
user,100-37-8,2025-04-15 00:20:49,"1-diethylamino-2-hydroxyethane;2-(DIETHYLAMINO)-ETHANOL;2-(diethylamino)ethanol;2-Diethylamino-ethanol;2-diethylaminoethanol;Diethanolamine;diethylaminoethanol;Ethanol, 2-(diethylamino)-;N,N-Diethylethanolamine;n,n-diethylethanolamine ((diethylamino)ethanol) - 毒性分级: 4级",
user,10042-59-8,2025-04-15 00:20:55,"1-Heptanol, 2-propyl-;2-Propyl-1-heptanol;2-propylheptan-1-ol - 毒性分级: 3级",
user,10094-45-8,2025-04-15 00:21:03,"(13Z)-N-octadecyldocos-13-enamide;(Z)-N-octadecyldocos-13-enamide;13-Docosenamide, N-octadecyl-, (13Z)-;13-Docosenamide, N-octadecyl-, (Z)-;STEARYL ERUCAMIDE - 毒性分级: 2级",
user,10081-67-1,2025-04-15 00:22:02,"4-(1-methyl-1-phenylethyl)-N-[4-(1-methyl-1-phenylethyl)phenyl]aniline;4-(2-Phenylpropan-2-yl)-N-[4-(2-phenylpropan-2-yl)phenyl]aniline;4, 4'-Bis (4-.alpha.,.alpha.-dimethylbenzyl) di-phenylamine;Benzenamine, 4-(1-methyl-1-phenylethyl)-N- 4-(1-methyl-1-phenylethyl)phenyl -;Benzenamine, 4-(1-methyl-1-phenylethyl)-N-[4-(1-methyl-1-phenylethyl)phenyl]-;benzenamine, 4-(1-methyl-1-phenylethyl)-n-Х4-(1-methyl-1-phenylethyl)phenylе-;Benzenamine, 4-(1-methyl-1-phenylethyl)-N-�4-(1-methyl-1-phenylethyl)phenyl�-;Diphenylamine, 4,4'-bis(.alpha.,.alpha.-dimethylbenzyl)- - 毒性分级: 4级",
user,101-20-2,2025-04-15 00:22:18,"1-(3',4'-Dichlorophenyl)-3-(4'-chlorophenyl)urea;1-(3',4'-Dichlorophenyl)-3-(4'-chlorophenyl)urea;1-(4-chlorophenyl)-3-(3,4-dichlorophenyl)urea;3,4,4-trichlorocarbanilide;3,4,4'-trichlorocarbanilide;3,4,4'-Trichlorocarbanilide;3,4,4'-trichlorocarbanilide; Carbanilide, 3,4,4'-trichloro-; Urea, N-(4-chlorophenyl)-N'-(3,4-dichlorophenyl)-;3,4,4'-Trichlorodiphenylurea;Carbanilide, 3,4,4'-trichloro-;n-(4-chlorophenyl)-n'-(3,4-dichlorophenyl)urea;trichlocarban;trichlorocarbanilide;Triclocarban;Triclocarban (3,4,4'-trichlorocarbanilide);triclocarban (urea, n-(4-chlorophenyl)-n'-(3,4-dichlorophenyl)-);Urea, N-(4-chlorophenyl)-N'-(3,4-dichlorophenyl)-;urea, n-(4-chlorophenyl)-n’-(3,4-dichlorophenyl)-;Urea, N-(4-chlorophenyl)-N�-(3,4-dichlorophenyl)- - 毒性分级: 3级",
user,10191-41-0,2025-04-15 00:22:26,"2,5,7,8-tetramethyl-2-(4,8,12-trimethyltridecyl)-3,4-dihydro-2H-1-benzopyran-6-ol;2,5,7,8-tetramethyl-2-(4,8,12-trimethyltridecyl)-3,4-dihydro-2H-chromen-6-ol;2,5,7,8-tetramethyl-2-(4,8,12-trimethyltridecyl)chroman-6-ol;2H-1-Benzopyran-6-ol, 3,4-dihydro-2,5,7,8-tetramethyl-2-(4,8,12-trimethyltridecyl)-;2h-1-benzopyran-6-ol,_3,4-dihydro-2,5,7,8-tetramethyl-2-(4,8,12-trimethyltridecyl)-,__2r-_2r*(4r*,8r*)__-;3,4-Dihydro-2,5,7,8-tetramethyl-2-(4,8,12-trimethyltridecyl)-2H-1-benzopyran-6-ol;3,4-dihydro-2,5,7,8-tetramethyl-2-(4,8,12-trimethyltridecyl)-2H-benzopyran-6-ol;6-Chromanol, 2,5,7,8-tetramethyl-2-(4,8,12-trimethyltridecyl)-;dl-?-Tocopherol;dl-alpha-Tocopherol;dl-α-Tocopherol - 毒性分级: 2级",
user,1217271-02-7,2025-04-15 00:22:38,nan - 毒性分级: 1级,
user,100-40-3,2025-04-15 00:22:49,"4-ethenylcyclohex-1-ene;4-ethenylcyclohexene;4-Vinyl-1-cyclohexene;4-vinylcyclohex-1-ene;4-Vinylcyclohexene;Cyclohexene, 4-ethenyl-;Cyclohexene, 4-vinyl-;Cyclohexene, 4-vinyl- (8CI) - 毒性分级: 3级",
gin,100-64-1,2025-04-15 00:24:37,"cyclohexanone oxime;cyclohexanone, oxime;n-hydroxycyclohexanimine;Cyclohexanone oxime;CYCLOHEXANONE_OXIME;Cyclohexanone, oxime;Cyclohexanone,_oxime;N-hydroxycyclohexanimine - 毒性分级: 3级",
gin,101-07-5,2025-04-15 00:24:43,"2-[bis(2-ethylhexyl)amino]ethanol;Ethanol, 2-(bis(2-ethylhexyl)amino)- - 毒性分级: 3级",
gin,50-00-0,2025-04-15 00:28:24,Formaldehyde;formaldehyde (act. 37%);Formaldehyde [BSI:ISO];Formaldehyde|Formaldehyde (act. 37%)|Formaldehyde [BSI:ISO]|Formalin|methanal;Formalin;methanal - 毒性分级: 4级,
wuzihao,101-25-7,2025-04-15 00:28:24,"1,3,5,7-Tetraazabicyclo 3.3.1 nonane, 3,7-dinitroso-;1,3,5,7-Tetraazabicyclo(3.3.1)nonane, 3,7-dinitroso-;1,3,5,7-Tetraazabicyclo[3.3.1]nonane, 3,7-dinitroso-;1,3,5,7-Tetraazabicyclo�3.3.1�nonane, 3,7-dinitroso-;3,7-dinitroso-1,3,5,7-tetraazabicyclo[3.3.1]nonane;DINITROSOPENTAMETHYLENETETRAMINE;N,N-Dinitrosopentamethylenetetramine;N,N'-Dinitrosopentamethylenetetramine - 毒性分级: 3级",
gin,101-20-2,2025-04-15 00:28:58,"1-(3',4'-Dichlorophenyl)-3-(4'-chlorophenyl)urea;1-(3',4'-Dichlorophenyl)-3-(4'-chlorophenyl)urea;1-(4-chlorophenyl)-3-(3,4-dichlorophenyl)urea;3,4,4-trichlorocarbanilide;3,4,4'-trichlorocarbanilide;3,4,4'-Trichlorocarbanilide;3,4,4'-trichlorocarbanilide; Carbanilide, 3,4,4'-trichloro-; Urea, N-(4-chlorophenyl)-N'-(3,4-dichlorophenyl)-;3,4,4'-Trichlorodiphenylurea;Carbanilide, 3,4,4'-trichloro-;n-(4-chlorophenyl)-n'-(3,4-dichlorophenyl)urea;trichlocarban;trichlorocarbanilide;Triclocarban;Triclocarban (3,4,4'-trichlorocarbanilide);triclocarban (urea, n-(4-chlorophenyl)-n'-(3,4-dichlorophenyl)-);Urea, N-(4-chlorophenyl)-N'-(3,4-dichlorophenyl)-;urea, n-(4-chlorophenyl)-n’-(3,4-dichlorophenyl)-;Urea, N-(4-chlorophenyl)-N�-(3,4-dichlorophenyl)- - 毒性分级: 3级",
wuzihao,50-00-0,2025-04-15 09:03:28,Formaldehyde;formaldehyde (act. 37%);Formaldehyde [BSI:ISO];Formaldehyde|Formaldehyde (act. 37%)|Formaldehyde [BSI:ISO]|Formalin|methanal;Formalin;methanal - 毒性分级: 4级,
gin,50-00-0,2025-04-15 18:02:10,Formaldehyde;formaldehyde (act. 37%);Formaldehyde [BSI:ISO];Formaldehyde|Formaldehyde (act. 37%)|Formaldehyde [BSI:ISO]|Formalin|methanal;Formalin;methanal - 毒性分级: 4级,
user,50-00-0,2025-06-10 11:04:09,Formaldehyde;formaldehyde (act. 37%);Formaldehyde [BSI:ISO];Formaldehyde|Formaldehyde (act. 37%)|Formaldehyde [BSI:ISO]|Formalin|methanal;Formalin;methanal - 毒性分级: 4级,
user,50-00-0,2025-06-10 11:05:15,Formaldehyde;formaldehyde (act. 37%);Formaldehyde [BSI:ISO];Formaldehyde|Formaldehyde (act. 37%)|Formaldehyde [BSI:ISO]|Formalin|methanal;Formalin;methanal - 毒性分级: 4级,
user,100-00-5,2025-06-10 11:13:42,未找到结果,
admin,50-00-0,2025-06-10 11:20:02,Formaldehyde;formaldehyde (act. 37%);Formaldehyde [BSI:ISO];Formaldehyde|Formaldehyde (act. 37%)|Formaldehyde [BSI:ISO]|Formalin|methanal;Formalin;methanal - 毒性分级: 4级,
user,89-55-8,2025-06-16 14:44:02,未找到结果,
user,65-88-8,2025-06-16 14:49:47,未找到结果,
user,50-00-0,2025-06-16 14:50:12,Formaldehyde;formaldehyde (act. 37%);Formaldehyde [BSI:ISO];Formaldehyde|Formaldehyde (act. 37%)|Formaldehyde [BSI:ISO]|Formalin|methanal;Formalin;methanal - 毒性分级: 4级,
user,50-00-0,2025-06-16 15:06:54,Formaldehyde;formaldehyde (act. 37%);Formaldehyde [BSI:ISO];Formaldehyde|Formaldehyde (act. 37%)|Formaldehyde [BSI:ISO]|Formalin|methanal;Formalin;methanal - 毒性分级: 4级,饮食
user,50-00-0,2025-06-16 15:17:00,Formaldehyde;formaldehyde (act. 37%);Formaldehyde [BSI:ISO];Formaldehyde|Formaldehyde (act. 37%)|Formaldehyde [BSI:ISO]|Formalin|methanal;Formalin;methanal - 毒性分级: 4级,溶剂
user,100-00-5,2025-06-16 15:17:28,未找到结果,固化剂
user,50-00-0,2025-06-16 17:23:49,未知 - 毒性分级: 4级,溶剂
user,50-00-0,2025-06-16 17:25:46,甲醛 - 毒性分级: 4级,溶剂
admin,50-00-0,2025-06-16 17:28:24,Formaldehyde;formaldehyde (act. 37%);Formaldehyde [BSI:ISO];Formaldehyde|Formaldehyde (act. 37%)|Formaldehyde [BSI:ISO]|Formalin|methanal;Formalin;methanal - 毒性分级: 4级,溶剂
admin,50-00-0,2025-06-16 17:30:15,甲醛 - 毒性分级: 4级,溶剂
user,50-00-0,2025-06-16 21:17:49,甲醛 - 毒性分级: 4级,溶剂
user,9003-53-6,2025-06-16 21:30:23,聚苯乙烯树脂 - 毒性分级: 4级,测试
user,100-42-5,2025-06-16 21:32:49,苯乙烯 - 毒性分级: 4级,测试
user,9003-53-6,2025-06-16 21:34:18,聚苯乙烯树脂 - 毒性分级: 4级,测试
admin,102-06-7,2025-06-16 21:35:55,"N,N'-二苯基胍 - 毒性分级: 3级",测试
user,50-00-0,2025-06-20 11:06:43,甲醛 - 毒性分级: 4级,溶剂
admin,100-00-5,2025-06-20 11:10:39,未找到结果,溶剂
admin,50-00-0,2025-06-20 11:12:42,甲醛 - 毒性分级: 4级,溶剂
admin,50-00-0,2025-06-20 16:44:40,甲醛 - 毒性分级: 4级,测试
user,50-00-0,2025-06-21 11:53:52,甲醛 - 毒性分级: 4级,溶剂
user,50-00-0,2025-06-21 11:56:53,甲醛 - 毒性分级: 4级,溶剂
user,50-00-0,2025-06-21 11:58:19,甲醛 - 毒性分级: 4级,溶剂
user,50-00-0,2025-06-21 12:02:13,甲醛 - 毒性分级: 4级,2021
user,50-00-0,2025-06-21 12:05:25,甲醛 - 毒性分级: 4级,22
user,50-00-0,2025-06-21 12:05:55,甲醛 - 毒性分级: 4级,2021
user,50-00-0,2025-06-21 12:08:22,甲醛 - 毒性分级: 4级,123
user,50-00-0,2025-06-21 12:10:43,甲醛 - 毒性分级: 4级,213
user,50-00-0,2025-06-21 12:11:55,甲醛 - 毒性分级: 4级,123
user,50-00-0,2025-06-21 12:13:02,甲醛 - 毒性分级: 4级,123
user,50-00-0,2025-06-21 12:14:57,甲醛 - 毒性分级: 4级,0
user,50-00-0,2025-06-21 12:15:55,甲醛 - 毒性分级: 4级,45
user,50-00-0,2025-06-21 12:16:43,甲醛 - 毒性分级: 4级,2021
user,50-00-0,2025-06-21 12:30:15,甲醛 - 毒性分级: 4级,123
user,50-00-0,2025-06-21 12:33:09,甲醛 - 毒性分级: 4级,555
user,100-40-3,2025-06-25 08:48:59,4-乙烯基环己烯 - 毒性分级: 3级,555
user,100-40-3,2025-06-25 08:49:31,4-乙烯基环己烯 - 毒性分级: 3级,555
user,100-40-3,2025-06-25 08:49:48,4-乙烯基环己烯 - 毒性分级: 3级,555
user,100-52-7,2025-06-25 08:49:56,苯甲醛 - 毒性分级: 4级,111
user,10319-14-9,2025-06-25 08:50:07,分散黄3G - 毒性分级: 3级,222
wuzihao,100-41-4,2025-06-26 08:48:24,乙苯 - 毒性分级: 4级,123456
wuzihao,100-41-4,2025-06-26 08:49:54,乙苯 - 毒性分级: 4级,123
wuzihao,50-00-0,2025-06-26 08:50:05,甲醛 - 毒性分级: 4级,123
wuzihao,100-50-5,2025-06-26 08:50:42,"1,2,3,6-四氢苯甲醛 - 毒性分级: 4级",123
wuzihao,100-46-9,2025-06-26 09:02:47,苄胺 - 毒性分级: 3级,333
wuzihao,100-66-3,2025-06-26 09:03:49,茴香醚 - 毒性分级: 3级,58
wuzihao,10222-01-2,2025-06-26 09:07:10,"2,2-二溴-2-氰基乙酰胺 - 毒性分级: 4级",123
user,103-11-7,2025-06-26 09:07:35,2-丙烯酸-2-乙基己基酯 - 毒性分级: 3级,333
user,103-25-3,2025-06-26 09:07:44,3-苯丙酸甲酯 - 毒性分级: 3级,333
user,123,2025-06-26 09:50:39,二羟基丙基十八烷酸酯 - 毒性分级: 2级,123
user,123,2025-06-26 09:50:43,二羟基丙基十八烷酸酯 - 毒性分级: 2级,123
user,123,2025-06-26 09:50:53,二羟基丙基十八烷酸酯 - 毒性分级: 2级,123
user,123,2025-06-26 09:53:20,未找到结果,123
user,123,2025-06-26 09:53:29,未找到结果,123
user,123,2025-06-26 09:53:43,未找到结果,123
user,123,2025-06-26 09:56:51,未找到结果,123
user,50-00-0,2025-06-26 09:57:11,甲醛 - 毒性分级: 4级,123
user,123,2025-06-26 09:57:18,未找到结果,123
